,topic,tweet,tweet_punct_removed
65,soda,"Repost!
YOU NEED TO CHOOSE ONE FROM EACH TEAM!

FOR FUN!!
Choose your team!
- Team Apple or Orange
- Team Blond or Brown
- Team Hotdog or Burger
- Team Milk or Soda
- Team Icecream or Potato Chips
- Team Taken or Single
- Team Casual or Sportswear","Repost
YOU NEED TO CHOOSE ONE FROM EACH TEAM

FOR FUN
Choose your team
 Team Apple or Orange
 Team Blond or Brown
 Team Hotdog or Burger
 Team Milk or Soda
 Team Icecream or Potato Chips
 Team Taken or Single
 Team Casual or Sportswear"
79,soda,"@jnflesch Se eu fosse cantor: vários lanches do McDonald’s com milkshake, fini variado, soda pop de todos os sabores e comida mexicana. t.co/nwPsrCre9K",jnflesch Se eu fosse cantor vários lanches do McDonald’s com milkshake fini variado soda pop de todos os sabores e comida mexicana tconwPsrCreK
83,soda,@Andy091218 @Mariadenadie15 Café y Soda!!!,Andy Mariadenadie Café y Soda
85,soda,@AnOldLefty Vodka soda in your honor. t.co/BezIm3AY9T,AnOldLefty Vodka soda in your honor tcoBezImAYT
93,soda,@Qwerty_Soda t.co/o5KpxigX6C,QwertySoda tcooKpxigXC
99,soda,@Qwerty_Soda 🫡,QwertySoda 🫡
103,soda,@Qwerty_Soda u doing shirt collabs?,QwertySoda u doing shirt collabs
112,soda,"@Soda_Maccha_906 おは五月!!🌟🌟
学校やだよね😖
しんです。よろしく！🙏","SodaMaccha おは五月🌟🌟
学校やだよね😖
しんです。よろしく！🙏"
122,soda,@coda_soda_goda 水掛論にはキリがないので、私は乗らないようにしてます（同感ですが）。日本手話で教育を受ける、学習権の話です。そして歩み寄ることを学ぶ前の話なのに、小学校3年生の子に「歩み寄れ」「コミュ手段身につけろ」と論点のすり替えはダメですよって話ですよね。,codasodagoda 水掛論にはキリがないので、私は乗らないようにしてます（同感ですが）。日本手話で教育を受ける、学習権の話です。そして歩み寄ることを学ぶ前の話なのに、小学校年生の子に「歩み寄れ」「コミュ手段身につけろ」と論点のすり替えはダメですよって話ですよね。
128,soda,Enjoying some Encrypted vodka and soda from @1220spirits and @4HandsBrewingCo This is the best drinking glass! t.co/qhr5cwYhGT,Enjoying some Encrypted vodka and soda from spirits and HandsBrewingCo This is the best drinking glass tcoqhrcwYhGT
131,soda,"【クーポン利用で1,279円！熱中症対策に新タイプ☆ソルティレモン登場！】炭酸水 500ml 24本 送料無料 強炭酸 炭酸 無糖 ZAO SODA プレーン レモン ピンクグレープフルーツ 割り材 箱買い ライフドリンクカンパニー LIFEDRINK 熱中症対策 塩分 塩分… [楽天] t.co/GmKvgwjvZz #RakutenBookmark",【クーポン利用で円！熱中症対策に新タイプ☆ソルティレモン登場！】炭酸水 ml 本 送料無料 強炭酸 炭酸 無糖 ZAO SODA プレーン レモン ピンクグレープフルーツ 割り材 箱買い ライフドリンクカンパニー LIFEDRINK 熱中症対策 塩分 塩分… 楽天 tcoGmKvgwjvZz RakutenBookmark
141,soda,"Hear me out

Ginseng flavored Cocaine Soda

as a service","Hear me out

Ginseng flavored Cocaine Soda

as a service"
152,soda,"✨️ Dashie's Delights ✨️

This week: Mustard Soda 🍹 t.co/wjha5uTF0c","✨️ Dashies Delights ✨️

This week Mustard Soda 🍹 tcowjhauTFc"
154,soda,people put PEANUTS IN SODA ???!?!??!???,people put PEANUTS IN SODA 
156,soda,@LVJYENJOYER i will bring the soda,LVJYENJOYER i will bring the soda
158,soda,"@_bIurryface I was going to say obviously you are fairly local but there are smaller ones that remind me of you for sure. pork soda is one of them, perfect places by lorde is another one, and the friends theme song is A BIG ONE and you remind me of all the disney songs abt friendship",bIurryface I was going to say obviously you are fairly local but there are smaller ones that remind me of you for sure pork soda is one of them perfect places by lorde is another one and the friends theme song is A BIG ONE and you remind me of all the disney songs abt friendship
159,soda,"@PalenciaDiego @mvalenciamayor ""Solo dios sabe que es el séptimo dia, el abismo y la luna, no descansaré"" Soda Stereo 1990.",PalenciaDiego mvalenciamayor Solo dios sabe que es el séptimo dia el abismo y la luna no descansaré Soda Stereo 
164,soda,The things that cross my mind while pouring myself a soda t.co/OysUgfKBrv,The things that cross my mind while pouring myself a soda tcoOysUgfKBrv
170,soda,"Soda. Though usually if I'm getting a soda I want a Coke Zero, so I ask for a Coke Zero.

Even when I was living in the south I heard most people saying ""soda"" so I feel like the regional differences might be homogenizing a bit. t.co/CmUkCCSOcr","Soda Though usually if Im getting a soda I want a Coke Zero so I ask for a Coke Zero

Even when I was living in the south I heard most people saying soda so I feel like the regional differences might be homogenizing a bit tcoCmUkCCSOcr"
172,soda,@DonLew87 Soda in 2022? Only unhealthy drinks we doing is alcohol at least there is a buzz there I personally stopped soda at the beginning of the pandemic,DonLew Soda in  Only unhealthy drinks we doing is alcohol at least there is a buzz there I personally stopped soda at the beginning of the pandemic
174,soda,Next was a soda tier list I'm sorry I don't drink a lot of soda t.co/1pJDTFX2q2,Next was a soda tier list Im sorry I dont drink a lot of soda tcopJDTFXq
177,soda,@iwannago_higher Baking soda?,iwannagohigher Baking soda
181,soda,"Few sips left in a 2-liter soda bottle in the 'fridge. Drink it from the bottle, pour it in a glass, or go on about soda being unhealthy?",Few sips left in a liter soda bottle in the fridge Drink it from the bottle pour it in a glass or go on about soda being unhealthy
182,soda,Day 396 of getting @MrBeast to get some soda off of me.,Day  of getting MrBeast to get some soda off of me
191,soda,@Riedal64 I prefer the soda squirt 😈🔥,Riedal I prefer the soda squirt 😈🔥
194,soda,@ttxyn1 @PatrzInaczej Mielim syfon na naboje 😍 Ale oranżada z sodą i kwasem też chodziła 😝,ttxyn PatrzInaczej Mielim syfon na naboje 😍 Ale oranżada z sodą i kwasem też chodziła 😝
198,soda,"Question, how many of you know the Soda squirt 😈🔥",Question how many of you know the Soda squirt 😈🔥
202,soda,@Riedal64 I probably should clarify this but it’s a grapefruit soda sold around New Jersey that taste similar to Sprite 😈🔥,Riedal I probably should clarify this but it’s a grapefruit soda sold around New Jersey that taste similar to Sprite 😈🔥
206,soda,@____Gil this looks like before getting on a cruise ship. lol which In that case you can bring soda 😂,Gil this looks like before getting on a cruise ship lol which In that case you can bring soda 😂
207,soda,@Riedal64 The grapefruit soda baka 😈🔥😳,Riedal The grapefruit soda baka 😈🔥😳
208,soda,"#WhatTheFanta gotta be Cream Soda, yeah? #MysteryFlavor #Fanta t.co/ztt0gnIhCa",WhatTheFanta gotta be Cream Soda yeah MysteryFlavor Fanta tcozttgnIhCa
209,soda,"Also, to add to this, there should be much better options for non drinkers that’s not just soft drinks or a lime and soda, orange juice",Also to add to this there should be much better options for non drinkers that’s not just soft drinks or a lime and soda orange juice
212,soda,"#UnDiaComoHoy hace 32 años, se publicó #CancionAnimal, el quinto álbum de Soda Stereo 🎸🔥

Se le considera el mejor disco de la banda en toda su carrera, el cual posee un sonido rockero, más duro y sanguíneo que sus anteriores 📀

¿Canción favorita de este disco? 👇🏼 t.co/NOlb5sgYwI","UnDiaComoHoy hace  años se publicó CancionAnimal el quinto álbum de Soda Stereo 🎸🔥

Se le considera el mejor disco de la banda en toda su carrera el cual posee un sonido rockero más duro y sanguíneo que sus anteriores 📀

¿Canción favorita de este disco 👇🏼 tcoNOlbsgYwI"
220,soda,@Nar_soda_fall Kon it dara dé 😂,Narsodafall Kon it dara dé 😂
221,soda,I know food prices have risen everywhere but I’ve got to draw a line when a long time cheesesteak shop begins charging 2 bucks for a refill on a fountain soda. Cmon.. we’re talking syrup and carbonated water. Do better Chubbys.,I know food prices have risen everywhere but I’ve got to draw a line when a long time cheesesteak shop begins charging  bucks for a refill on a fountain soda Cmon we’re talking syrup and carbonated water Do better Chubbys
231,soda,"@DaveMacLachlan1 Scotch and Soda, The Kingston Trio.",DaveMacLachlan Scotch and Soda The Kingston Trio
234,soda,@Pizzaplexguards What are you Ahing about ? Did you not ge the right soda ?,Pizzaplexguards What are you Ahing about  Did you not ge the right soda 
238,soda,@lsymichael @Gh0ster 我都是soda stream自己做,lsymichael Ghster 我都是soda stream自己做
239,soda,Somos CÓMPLICES los.... Como la canción de Soda Stereo t.co/Ptg7HTQDuQ,Somos CÓMPLICES los Como la canción de Soda Stereo tcoPtgHTQDuQ
245,soda,@guhlo TTB approved. Not saying it couldn’t be better outlined but they gave the ok. Also is that their image? With a Vodka soda can right behind it? t.co/1QiPgCWSHr,guhlo TTB approved Not saying it couldn’t be better outlined but they gave the ok Also is that their image With a Vodka soda can right behind it tcoQiPgCWSHr
246,soda,"Blood orange (Italian soda) in a #TWD themed glass is the right way to finish watching #TalesOfTWD eps. 

2 down. 2 to go. t.co/fo2pT8kuzI","Blood orange Italian soda in a TWD themed glass is the right way to finish watching TalesOfTWD eps 

 down  to go tcofopTkuzI"
252,soda,"Ahora sonando De Música Ligera por Soda Stereo 
 en Radio UNO Digital t.co/nwESNcga0v - Donde la cultura del rock se siente t.co/yj6CRw6lRO","Ahora sonando De Música Ligera por Soda Stereo 
 en Radio UNO Digital tconwESNcgav  Donde la cultura del rock se siente tcoyjCRwlRO"
253,soda,@evthebeloved actually i hate soda,evthebeloved actually i hate soda
254,soda,"@NathanpmYoung i would just stick to soda, booze, &amp; chips",NathanpmYoung i would just stick to soda booze amp chips
259,soda,"@Tilberian **Smash cut to the SkyDome grounds crew, scrubbing second base with baking soda and vinegar, after the game**",Tilberian Smash cut to the SkyDome grounds crew scrubbing second base with baking soda and vinegar after the game
260,soda,"@Vivirvivir4 Apa! Tuve que buscarlo 
Poco decorosa de risa fuerte 
Te gusta la soda y eructar pero no lo haces 
A veces te arrepentis de no tener un auto mas grande para cargar mas bolsas de súper","Vivirvivir Apa Tuve que buscarlo 
Poco decorosa de risa fuerte 
Te gusta la soda y eructar pero no lo haces 
A veces te arrepentis de no tener un auto mas grande para cargar mas bolsas de súper"
265,soda,@li__soda Ai mdssss mto mto obrigada 😭💛💛💛💛💛💛😳,lisoda Ai mdssss mto mto obrigada 😭💛💛💛💛💛💛😳
269,soda,"@SAWohlfeil Too funny. Were you guys at your table for hours, just drinking coffee or soda and ordering no food because you didn’t have enough money?",SAWohlfeil Too funny Were you guys at your table for hours just drinking coffee or soda and ordering no food because you didn’t have enough money
272,soda,"@CindyRi24097949 @CityCynthia @ChristyCeeCK Exactly! Even Kraft Dinner has gone up. Cripes, I remember when it was 5/$1 or 25¢ box. Even soda pop went up $1.27 case at Walmart in the past week! @fordnation wouldn't be able to handle it.",CindyRi CityCynthia ChristyCeeCK Exactly Even Kraft Dinner has gone up Cripes I remember when it was  or ¢ box Even soda pop went up  case at Walmart in the past week fordnation wouldnt be able to handle it
275,soda,"@SteveStuffie @ScrappyDaDog14 hiya Scrappy pal
can I get you a soda? something to drink to have with your pizza?
#FurryTails Pizza Club","SteveStuffie ScrappyDaDog hiya Scrappy pal
can I get you a soda something to drink to have with your pizza
FurryTails Pizza Club"
278,soda,Ayran limon tuz soda nın bazen Dünya nın en iyi içeceği olduğunu düşünüyorum,Ayran limon tuz soda nın bazen Dünya nın en iyi içeceği olduğunu düşünüyorum
279,soda,"Pengen duren dan soda. Of course minumnya ga barengan 😂. 
Pasti dimarahin bebeb 🙅‍♂️","Pengen duren dan soda Of course minumnya ga barengan 😂 
Pasti dimarahin bebeb 🙅‍♂️"
293,soda,"#DailyKakojoRanking #カコジョ
#faceapp #SODA #自撮り

おはちひ♪

お久しぶりです。

いつも投げっぱなしですみません。

今日も元気にいきまっしょい
(*≧∀≦*)ノ☀️ t.co/tzexcv9Gse","DailyKakojoRanking カコジョ
faceapp SODA 自撮り

おはちひ♪

お久しぶりです。

いつも投げっぱなしですみません。

今日も元気にいきまっしょい
≧∀≦ノ☀️ tcotzexcvGse"
311,soda,"“No hay nada mejor que casa...”

'Té Para Tres'

GUSTAVO CERATI - SODA STEREO #Cerati #FraseQRP #GustavoCerati #CeratiEterno t.co/JXo2EL0IvD","“No hay nada mejor que casa”

Té Para Tres

GUSTAVO CERATI  SODA STEREO Cerati FraseQRP GustavoCerati CeratiEterno tcoJXoELIvD"
314,soda,"@MateoNoMayo I used to work over Mike Tyson.

Dude knocks me out left and right now. Don’t get me started on Soda Popinski.","MateoNoMayo I used to work over Mike Tyson

Dude knocks me out left and right now Don’t get me started on Soda Popinski"
315,soda,@Riddle1fangirl I like coke a lot one of my favorite soda’s,Riddlefangirl I like coke a lot one of my favorite soda’s
316,soda,"@slav_metalurges I have frozen cubes of watermelon in place of ice in a G&amp;T… maybe try that? 
Or try with a light tonic (thinking Fever Tree light blue or 50/50 tonic/soda)?
Also watermelon likes mint, cucumber, black pepper so could some or all?","slavmetalurges I have frozen cubes of watermelon in place of ice in a GampT… maybe try that 
Or try with a light tonic thinking Fever Tree light blue or  tonicsoda
Also watermelon likes mint cucumber black pepper so could some or all"
319,soda,My mom really just ran off with my soda…..😭😭like really stole it,My mom really just ran off with my soda…😭😭like really stole it
321,soda,"Si la fuente de soda Acuarela hubiese tenido un logo de fospuca en la entrada y estuviese ubicada en Las Mercedes, el alcalde de Baruta (Darwin González) no hubiese cerrado el local.",Si la fuente de soda Acuarela hubiese tenido un logo de fospuca en la entrada y estuviese ubicada en Las Mercedes el alcalde de Baruta Darwin González no hubiese cerrado el local
326,soda,I will grab by flask of (water) and defend @UKFootball against all of its haters. Where’s my bottle of (soda) ?,I will grab by flask of water and defend UKFootball against all of its haters Where’s my bottle of soda 
330,soda,They’re making soda bottles too sexy these days. Too many curves.,They’re making soda bottles too sexy these days Too many curves
331,soda,So 2oz of gin and .5oz of simple syrup and topped with club soda. A beautiful colour but it didn’t blow my knickers out of the water. Perhaps more needs to be more with actual watermelon purée added? I may still be in the middle of the thought process. @FionaMattatall t.co/JLeA2S71om,So oz of gin and oz of simple syrup and topped with club soda A beautiful colour but it didn’t blow my knickers out of the water Perhaps more needs to be more with actual watermelon purée added I may still be in the middle of the thought process FionaMattatall tcoJLeASom
340,soda,"@KellyRippin Can we, just for a second, talk about how delicious A&amp;W Root Beer Zero Sugar is? Only thing that could replace it is if Barqs's finally makes a Zero Sugar Red Cream Soda.",KellyRippin Can we just for a second talk about how delicious AampW Root Beer Zero Sugar is Only thing that could replace it is if Barqss finally makes a Zero Sugar Red Cream Soda
342,soda,"@trpg_soda アララ！！でもまあこっちも全く通らないってほどじゃないので…多分大丈夫かな…？
精神分析はありがたいなあ！こっちもしっかり推奨積んどきますよ〜👍👍👍
お！やった〜牡蠣定食作ってもらうか…🦪😋","trpgsoda アララ！！でもまあこっちも全く通らないってほどじゃないので…多分大丈夫かな…？
精神分析はありがたいなあ！こっちもしっかり推奨積んどきますよ〜👍👍👍
お！やった〜牡蠣定食作ってもらうか…🦪😋"
344,soda,Yoga pants can make Soda Bread look good,Yoga pants can make Soda Bread look good
369,soda,"@anth_alvarado Said a bunch already, but club soda + lime with a splash of bitters (there’s some alcohol in most bitters but it’s just a few drops of bitters so it’s a minuscule amount)",anthalvarado Said a bunch already but club soda  lime with a splash of bitters there’s some alcohol in most bitters but it’s just a few drops of bitters so it’s a minuscule amount
370,soda,"@ARayRobinson I got a carnitas burrito in LA the other day and a medium soda at the drive through window of Lucy’s.  

$17.44! t.co/PXHf46j3vd","ARayRobinson I got a carnitas burrito in LA the other day and a medium soda at the drive through window of Lucy’s  

 tcoPXHfjvd"
377,soda,@MadScientistFF Cake and soda,MadScientistFF Cake and soda
403,soda,"@oishi_soda みたい～！！！
そのプロフィールはガチっぽいですねwww","oishisoda みたい～！！！
そのプロフィールはガチっぽいですねwww"
412,soda,@MadScientistFF Everything with wheat plus soda,MadScientistFF Everything with wheat plus soda
434,soda,"@OriginalFunko @brianmariotti @itsKyAnn and @MookyAB should be following both of these accounts and I hope they are! Both versions are amazing, but I’m a fan of the blue shirt Freddy soda myself. Would love to have a chance to pull that chase and add my first ever Freddy to my soda collection! 🤞🏻",OriginalFunko brianmariotti itsKyAnn and MookyAB should be following both of these accounts and I hope they are Both versions are amazing but I’m a fan of the blue shirt Freddy soda myself Would love to have a chance to pull that chase and add my first ever Freddy to my soda collection 🤞🏻
439,soda,"@brucewayne5687 It was pop for the 26 years I lived in Oregon, it’s been soda for the 33 I’ve lived in Hawaii. 🤙🏼",brucewayne It was pop for the  years I lived in Oregon it’s been soda for the  I’ve lived in Hawaii 🤙🏼
445,soda,"@brucewayne5687 No, no, no! It’s SODA!",brucewayne No no no It’s SODA
448,soda,"Mom said if enough of you show up we can drink soda and have a sleep over.

Where you at doh?

🌐👇🔁","Mom said if enough of you show up we can drink soda and have a sleep over

Where you at doh

🌐👇🔁"
452,soda,@kheslopwrites Soda and ice cream,kheslopwrites Soda and ice cream
461,soda,"@AugustinKeaton @tryTHINKING634 @DrumpfForJail @JosephMarsilio1 @carsonkrow I refuse to have a battle of wits with someone who's unarmed.  I'm done with you, have your mom bring you another diet soda and a hot pocket in your basement bedroom.  I'm sure just like a female you'll want the last word so go ahead and give it your best shot🤣🤣",AugustinKeaton tryTHINKING DrumpfForJail JosephMarsilio carsonkrow I refuse to have a battle of wits with someone whos unarmed  Im done with you have your mom bring you another diet soda and a hot pocket in your basement bedroom  Im sure just like a female youll want the last word so go ahead and give it your best shot🤣🤣
467,soda,"She Sprinkles Baking Soda All Over Her Mattress. In A Matter of Minutes, This Is Unexpected t.co/CwdUxsaPlW",She Sprinkles Baking Soda All Over Her Mattress In A Matter of Minutes This Is Unexpected tcoCwdUxsaPlW
475,soda,@tashanreed I loved the Coliseum. I just wouldn’t recommend the food and would stay far away from the halftime hotdogs and make sure there were no dead rodents in the soda machine.,tashanreed I loved the Coliseum I just wouldn’t recommend the food and would stay far away from the halftime hotdogs and make sure there were no dead rodents in the soda machine
481,soda,@sodamoveon aaaaa ka soda thankyouuuu! 🫶🏻,sodamoveon aaaaa ka soda thankyouuuu 🫶🏻
490,soda,listening to danger days is like when you drink a soda and it’s so fizzy it burns ur throat,listening to danger days is like when you drink a soda and it’s so fizzy it burns ur throat
492,soda,@YaBoiShagNasty SODA,YaBoiShagNasty SODA
499,soda,"I gangster of crime you'll find him in church. All vases tapped, Colonel. This is a soda bottle scene. t.co/6KfOYUQRWV",I gangster of crime youll find him in church All vases tapped Colonel This is a soda bottle scene tcoKfOYUQRWV
502,soda,"@want__soda 
ご応募ありがとうございます！
8/24まで使える「ウチカフェチルドカップ飲料各種20円引券」を差し上げます※「UC:ウチカフェ」ロゴが目印です。「NL:ナチュラルローソン」ロゴの商品は対象外。
クーポンの使い方:t.co/lJuLMYCOyO #ローソン t.co/9QX7qMfXul","wantsoda 
ご応募ありがとうございます！
まで使える「ウチカフェチルドカップ飲料各種円引券」を差し上げます※「UCウチカフェ」ロゴが目印です。「NLナチュラルローソン」ロゴの商品は対象外。
クーポンの使い方tcolJuLMYCOyO ローソン tcoQXqMfXul"
513,soda,"I don’t drink much soda, but when I do, it’s ginger ale.",I don’t drink much soda but when I do it’s ginger ale
519,soda,@Thesixler [opens door to soda vault],Thesixler opens door to soda vault
521,soda,@sundownmotel And I’m alllll outta soda (I’m not),sundownmotel And I’m alllll outta soda I’m not
523,soda,"@sundownmotel Nah I’ll just go there in a bit, basically all I do is drive places and buy soda",sundownmotel Nah I’ll just go there in a bit basically all I do is drive places and buy soda
529,soda,"Obviously, Baja Blast is the exception to this. They can't exactly just come out and admit that it's estradiol soda.",Obviously Baja Blast is the exception to this They cant exactly just come out and admit that its estradiol soda
534,soda,@elsoda @LicFERB @somoscorta @mauriciomacri Soy viudo soda,elsoda LicFERB somoscorta mauriciomacri Soy viudo soda
538,soda,@tellenby Caustic soda is a faster way I believe,tellenby Caustic soda is a faster way I believe
545,soda,@BoonBroAus Bourbon and soda.,BoonBroAus Bourbon and soda
546,soda,@SODA_UYU 너무이쁜!,SODAUYU 너무이쁜
552,soda,@_codeinedreams Coulda been a soda 💚,codeinedreams Coulda been a soda 💚
560,soda,"Chapman 
Ginger beer
Tequila soda","Chapman 
Ginger beer
Tequila soda"
566,soda,"Que cosa hermosa el primer recital. La emoción, sentir que está pasando algo que te va a cambiar la vida. Mi primer show fue Soda Stereo en el Gran Rex, el domingo 16 de junio de 1991 ¿Cuál fue el tuyo?",Que cosa hermosa el primer recital La emoción sentir que está pasando algo que te va a cambiar la vida Mi primer show fue Soda Stereo en el Gran Rex el domingo  de junio de  ¿Cuál fue el tuyo
573,soda,@sakalsiz61 Soda iç 🙂,sakalsiz Soda iç 🙂
575,soda,@finn_eth There are some companies making nootropic cocktails and @drinkperfy has a compelling soda product,finneth There are some companies making nootropic cocktails and drinkperfy has a compelling soda product
594,soda,@ImagenRetro @fdbedout Será porque Gustavo Cerati fue el vocalista de Soda Estereo?,ImagenRetro fdbedout Será porque Gustavo Cerati fue el vocalista de Soda Estereo
596,soda,It is where soda bottle shower curtain takes place. t.co/pTk4QVDw0Z,It is where soda bottle shower curtain takes place tcopTkQVDwZ
605,soda,"8/31 @ Soda Bar – Jagged Baptist Club (@jaggedbaptistLA) w/ Dream Burglar, Nonexistent Night, DJ Lady Jane (@half_home) • 🎟: t.co/Sd5pTk5doh t.co/gFud0U4UiP",  Soda Bar – Jagged Baptist Club jaggedbaptistLA w Dream Burglar Nonexistent Night DJ Lady Jane halfhome • 🎟 tcoSdpTkdoh tcogFudUUiP
613,soda,"@Loyaltys_Keeper he don’t drink ANY juice. no lemonade, no soda nothing 🤣",LoyaltysKeeper he don’t drink ANY juice no lemonade no soda nothing 🤣
627,soda,"@rc_with_soda
ご応募ありがとうございます❗️
残念ですが、はずれです😵

キャンペーンサイト🔽
t.co/fYw4dxVx84 t.co/MNB0DcrTOr","rcwithsoda
ご応募ありがとうございます❗️
残念ですが、はずれです😵

キャンペーンサイト🔽
tcofYwdxVx tcoMNBDcrTOr"
630,soda,@makkariswift ok 1. shuri soda u have to be shitting me and 2. secret invasion omfg,makkariswift ok  shuri soda u have to be shitting me and  secret invasion omfg
632,soda,I love flat soda.,I love flat soda
636,soda,"Another sign of the end time(s)... #Sprite now comes in a clear bottle - #recycling #recycle #2022 #soda #humor @ Norfolk, Virginia t.co/FCPYXx8JyF",Another sign of the end times Sprite now comes in a clear bottle  recycling recycle  soda humor  Norfolk Virginia tcoFCPYXxJyF
648,soda,"@kel_grayson Jude: Just nudge me if I snore over the melody. *jokes*
Becks: *brings out a platter of veggie kabobs and the cleaned clams and hands them to Jay before she heads over and lifts down her orange soda to Kaz* *scoots down in and finds a seat for her and Scott*
1/2","kelgrayson Jude Just nudge me if I snore over the melody jokes
Becks brings out a platter of veggie kabobs and the cleaned clams and hands them to Jay before she heads over and lifts down her orange soda to Kaz scoots down in and finds a seat for her and Scott
"
651,soda,Sobreviví a este lunes a punta de Soda Stereo y alcohol… t.co/NZ87Y2KOCu,Sobreviví a este lunes a punta de Soda Stereo y alcohol… tcoNZYKOCu
657,soda,@siny_lo @marieeeme_soda 🤣🤣 Aljanna kay tiono amou fa,sinylo marieeemesoda 🤣🤣 Aljanna kay tiono amou fa
660,soda,"I don't drink pop/soda really anymore, but I went to the store and saw it's going for 7.99 a 12 pack. That's crazy.",I dont drink popsoda really anymore but I went to the store and saw its going for  a  pack Thats crazy
662,soda,"i have a new startup where i sell something called ""Gay Soda"" and it's just unsweetened stone fruit slurry. Peaches, cherries, avocado, you name it. To gay people, that represents soda",i have a new startup where i sell something called Gay Soda and its just unsweetened stone fruit slurry Peaches cherries avocado you name it To gay people that represents soda
664,soda,@marieeeme_soda @siny_lo Ya kay japalé 🤭🤭,marieeemesoda sinylo Ya kay japalé 🤭🤭
667,soda,@HadjMadior @marieeeme_soda 😂 nagn supprimer dimanche rekk,HadjMadior marieeemesoda 😂 nagn supprimer dimanche rekk
671,soda,"La música murió, hace mínimo, 20 años. Crecí escuchando a The Beatles, Pink Floyd, Queen, Soda, Radiohead, Spinetta en todos sus colores, The Who, U2, Los Rolling, entre tantos otros...",La música murió hace mínimo  años Crecí escuchando a The Beatles Pink Floyd Queen Soda Radiohead Spinetta en todos sus colores The Who U Los Rolling entre tantos otros
675,soda,@siny_lo @marieeeme_soda Yaw yay yéné manifestation biir aldjana 🤣🤣😏🤭🤭,sinylo marieeemesoda Yaw yay yéné manifestation biir aldjana 🤣🤣😏🤭🤭
676,soda,@rphlbruce Com uma pitada de soda cáustica,rphlbruce Com uma pitada de soda cáustica
679,soda,"FYI: I got it at the Uwajimaya in Seattle! They also had Sailor Venus (mango flavored). 

Ocean Bomb is the name of the brand, not the soda itself - you can find more if you Google ""ocean bomb soda""","FYI I got it at the Uwajimaya in Seattle They also had Sailor Venus mango flavored 

Ocean Bomb is the name of the brand not the soda itself  you can find more if you Google ocean bomb soda"
681,soda,"I’ve been doing a great job at NOT drinking soda but I HAVE to try this… 

Dream flavored? What does that even mean?!","I’ve been doing a great job at NOT drinking soda but I HAVE to try this… 

Dream flavored What does that even mean"
687,soda,@Qwerty_Soda 👀,QwertySoda 👀
